Column1
1,5170164725000004e6
1,4512803434000006e6
1,5484071133e6
1,4952650415e6
1,4903942366000002e6
1,2976463584999999e6
1,5216942578999999e6
1,4372295226999996e6
1,4901395334e6
1,4596655750000002e6
1,4657489167000004e6
1,4165194095e6
1,5292243104e6
1,5053453844e6
1,5765314829999998e6
1,5981882908999997e6
8,98073958633e6
8,745231210190002e6
8,868472905499998e6
8,9317395007e6
8,31327962397e6
8,12299722537e6
8,160491430760001e6
8,0237343019e6
5,088946482580001e6
5,21930484217e6
4,98603679274e6
5,15188654918e6
4,31633306833e6
4,557812490340001e6
4,391894597250001e6
4,49606314784e6
4,5578416381e6
4,501832749e6
4,5470135328e6
4,458057719899999e6
3,7947539207e6
4,0349090994e6
3,8000723507000003e6
3,8394386512e6
